County,Basin,Well count,Gas [MMscf/day],Oil [bbl/day],GOR [scf/bbl]
Acadia,GULF COAST EAST,190,4.117271233,1599.79726,2573.62063
Adair,OTHER - KENTUCKY,52,0,11.64657534,0
Adams,ARKLA,570,80.47646027,25462.93973,3160.53296
Alameda,CA COAST,2,0.000791781,6.575342466,120.4166667
Albany,GREEN RIVER - OVERTHRUST,24,0.000347945,36.0630137,9.648256476
Alcona,MICHIGAN,203,5.475463014,0,999999
Alfalfa,ANADARKO,1229,165.5301699,10130.42192,16339.90876
Allegan,MICHIGAN,90,0.008112329,68.51506849,118.4021113
Allegany,APPALACHIAN,776,0.467027397,61.44383562,7600.882864
Allegheny,APPALACHIAN,876,477.698,160.3013699,2979999.487
Allen,CHEROKEE PLATFORM,2202,2.701271233,1172.446575,2303.961042
Alpena,MICHIGAN,159,4.60819726,0,999999
Amite,GULF COAST EAST,68,1.194156164,2214.830137,539.163769
Anderson,EAST TEXAS,2665,11.74893425,1691.443836,6946.097765
Andrews,MIDLAND,10092,200.4605507,111883.6164,1791.688158
Angelina,EAST TEXAS,128,242.971126,8.512328767,28543437.72
Antrim,MICHIGAN,446,12.54690411,0,999999
Apache,BLACK MESA,12,0.214953425,11.60821918,18517.34718
Aransas,GULF COAST WEST,32,5.984791781,198.9835616,30076.81505
Arapahoe,DENVER-JULESBURG,126,17.02563562,6625.567123,2569.687289
Archer,FORT WORTH,2059,0.68819726,2293.235616,300.0988016
Archuleta,SAN JUAN,123,52.28029589,4.893150685,10684382.98
Arenac,MICHIGAN,83,1.10660274,295.6438356,3743.026596
Armstrong,APPALACHIAN,6963,217.8281452,20.35342466,10702284.7
Ascension,GULF COAST EAST,6,0.026446575,10.07123288,2625.952122
Ashland,APPALACHIAN,471,0.666254795,59.23561644,11247.53712
Ashley,ARKLA,2,0,18.02739726,0
Ashtabula,APPALACHIAN,1375,2.906265753,282.660274,10281.83307
Assumption,GULF COAST EAST,22,2.929589041,747.4821918,3919.276035
Atascosa,GULF COAST WEST,2140,73.56095342,67176.2274,1095.044427
Athens,APPALACHIAN,660,0.760671233,27.38356164,27778.38919
Atoka,ARKOMA,144,33.98486849,10.47123288,3245546.049
Auglaize,CINCINNATI ARCH,6,0.000441096,0.008219178,53666.66667
Austin,GULF COAST CENTRAL,176,20.11360548,608.6931507,33043.91623
Avoyelles,GULF COAST EAST,34,0.088665753,329.8849315,268.7778221
Baca,ANADARKO,82,0.773410959,43.07123288,17956.55493
Baldwin,GULF COAST EAST,6,0.005536986,49.89589041,110.9707885
Bandera,KERR,1,0,2.438356164,0
Banner,DENVER-JULESBURG,88,0.00870137,234.3013699,37.13751169
Barber,ANADARKO,2211,28.37806027,1448.19726,19595.43845
Barbour,APPALACHIAN,1754,45.99759452,10.56438356,4354025.415
Barren,OTHER - KENTUCKY,30,0,5.643835616,0
Barry,MICHIGAN,1,0,3.783561644,0
Barton,SALINA,1666,0.446975342,3767.309589,118.6457688
Bastrop,GULF COAST CENTRAL,186,0.165446575,179.8712329,919.8056448
Bay,MICHIGAN,308,0.455334247,624.0986301,729.5869989
Baylor,FORT WORTH,106,0,158.7068493,0
Beauregard,GULF COAST EAST,153,5.796660274,2084.816438,2780.417579
Beaver,ANADARKO,2122,316.7152548,3498.408219,90531.24591
Beckham,ANADARKO,815,87.44090411,1952.40274,44786.30476
Bee,GULF COAST WEST,362,25.59475616,803.2630137,31863.48148
Bell,APPALACHIAN,365,2.649783562,105.7671233,25052.99832
Belmont,APPALACHIAN,663,2444.475649,1418.082192,1723789.822
Bent,ANADARKO,16,0.452317808,0,999999
Benzie,MICHIGAN,12,0.29220274,0,999999
Bexar,KERR,1409,0.019567123,171.6,114.027525
Bibb,BLACK WARRIOR,53,1.142706849,0,999999
Bienville,ARKLA,959,290.0820493,133.6164384,2171005.7
Big Horn,POWDER RIVER,463,3.129079452,3234.950685,967.2726903
Billings,WILLISTON,470,13.59866849,9464.589041,1436.794396
Blaine,ANADARKO,1984,856.3587808,51078.92877,16765.40212
Blair,APPALACHIAN,6,1.295246575,0,999999
Boone,APPALACHIAN,1103,13.82669863,13.24383562,1044010.137
Borden,MIDLAND,650,19.55386849,19030.19178,1027.518205
Bossier,ARKLA,1549,700.4264603,1580.284932,443227.9561
Bottineau,WILLISTON,450,0.491657534,3396.90411,144.7369482
Boulder,DENVER-JULESBURG,304,8.878657534,902.9753425,9832.668863
Bourbon,CHEROKEE PLATFORM,554,0,105.5835616,0
Bowie,EAST TEXAS,9,0.018493151,74.08493151,249.620946
Bowman,WILLISTON,533,17.14242192,12138.08219,1412.284218
Boyd,APPALACHIAN,39,0.391679452,0,999999
Bradford,APPALACHIAN,1372,2414.778896,0,999999
Braxton,APPALACHIAN,1105,3.540339726,7.2,491713.8508
Brazoria,GULF COAST CENTRAL,375,22.59677808,8178.958904,2762.793938
Brazos,GULF COAST CENTRAL,802,30.57343562,26564.56164,1150.910601
Breathitt,APPALACHIAN,82,0.412167123,4.906849315,83998.32496
Breckinridge,OTHER - KENTUCKY,44,0.097821918,22.55890411,4336.28856
Brooke,APPALACHIAN,131,165.8223616,7382.882192,22460.383
Brooks,GULF COAST WEST,341,32.12795068,904.0712329,35536.96824
Brown,FORT WORTH,756,1.50030137,169.030137,8875.940093
Bryan,ARKOMA,41,3.796583562,65.89041096,57619.66736
Buchanan,APPALACHIAN,3463,129.4726438,0,999999
Burke,WILLISTON,477,25.01064932,9705.282192,2577.014127
Burleson,GULF COAST CENTRAL,1336,38.87188767,44015.1863,883.1471803
Butler,CHEROKEE PLATFORM,2042,678.6865562,2953.087671,229822.6913
Butte,SACRAMENTO,17,107.8142685,0,999999
Cabell,APPALACHIAN,364,1.800783562,19.80821918,90910.92669
Caddo,ARKLA,10260,1353.606397,8814.986301,153557.4022
Calcasieu,GULF COAST EAST,166,8.498043836,1813.868493,4685.038561
Caldwell,GULF COAST CENTRAL,2026,0.169956164,2494.975342,68.11937637
Calhoun,GULF COAST WEST,2660,7.697460274,798.5917808,9638.792258
Callahan,FORT WORTH,345,1.004893151,239.5972603,4194.092827
Cambria,APPALACHIAN,406,1.158123288,0,999999
Cameron,GULF COAST WEST,218,120.4066466,3167.824658,38009.25228
Camp,EAST TEXAS,103,0,165.9260274,0
Campbell,POWDER RIVER,3385,229.9228137,54436.22466,4223.709766
Canadian,ANADARKO,2249,966.9023918,50379.61644,19192.33333
Carbon,PARADOX,2854,314.7434795,5328.183562,59071.44073
Carroll,APPALACHIAN,1446,251.479663,6844.106849,36743.97092
Carson,ANADARKO,1030,17.47339178,301.3260274,57988.32557
Carter,ANADARKO,2624,114.5878822,17023.2,6731.277444
Casey,OTHER - KENTUCKY,2,0,0.526027397,0
Cass,EAST TEXAS,157,1.158594521,1280.076712,905.0977253
Catahoula,ARKLA,70,0.056471233,397.8520548,141.9402821
Cattaraugus,APPALACHIAN,1801,2.705780822,349.4246575,7743.531441
Cayuga,APPALACHIAN,285,1.361282192,0,999999
Centre,APPALACHIAN,659,10.08349589,0,999999
Chambers,GULF COAST CENTRAL,203,10.38392877,5237.284932,1982.693113
Chase,CHEROKEE PLATFORM,114,0.053419178,108.9150685,490.4663682
Chautauqua,CHEROKEE PLATFORM,4330,9.353484932,433.8630137,21558.61329
Chaves,NORTHWEST SHELF,1531,26.06228493,3684.556164,7073.38517
Chemung,APPALACHIAN,17,2.252578082,0,999999
Chenango,APPALACHIAN,47,2.037591781,0,999999
Cherokee,EAST TEXAS,538,57.05603288,1085.868493,52544.14622
Cheyenne,DENVER-JULESBURG,1100,14.8098137,3121.761644,4744.056526
Chickasaw,BLACK WARRIOR,20,0.390219178,9.849315068,39618.91516
Childress,PALO DURO,3,0,4.021917808,0
Choctaw,GULF COAST EAST,41,0.095169863,407.2547945,233.6862924
Chouteau,OTHER - MONTANA,99,1.534375342,0,999999
Christian,OTHER - KENTUCKY,58,0.463038356,1.928767123,240069.6023
Cimarron,ANADARKO,78,0.552468493,317.1287671,1742.095169
Claiborne,ARKLA,704,24.57503288,2293.616438,10714.53468
Clare,MICHIGAN,129,0.784890411,586.8794521,1337.396306
Clarion,APPALACHIAN,2505,23.95251507,149.6931507,160010.7617
Clark,ANADARKO,229,2.775386301,395.5753425,7016.075077
Clarke,GULF COAST EAST,90,2.563147945,1483.375342,1727.915971
Clay,FORT WORTH,2597,10.49240822,1249.287671,8398.712691
Clearfield,APPALACHIAN,3742,37.7437589,0,999999
Cleburne,ARKOMA,1022,243.1760603,0,999999
Cleveland,ANADARKO,246,2.353005479,991.9561644,2372.086151
Clinton,OTHER - KENTUCKY,487,54.23813699,12.89863014,4204953.271
Coal,ARKOMA,705,225.7918137,342.7232877,658816.6659
Cochran,NORTHWEST SHELF,1763,6.431350685,7854.336986,818.8279541
Coffee,OTHER - TENNESSEE,3,0,0,999999
Coffey,CHEROKEE PLATFORM,1484,0,567.0657534,0
Coke,EASTERN SHELF,282,4.396706849,687.2465753,6397.568219
Coleman,FORT WORTH,563,1.228649315,400.8657534,3064.989475
Colfax,RATON,807,43.02490685,0,999999
Collier,OTHER - FLORIDA,5,0.197956164,474.1835616,417.46737
Collingsworth,HOLLIS-HARDEMAN,312,2.129438356,11.92054795,178635.9458
Colorado,GULF COAST CENTRAL,188,36.50939726,1399.394521,26089.42419
Columbia,OTHER - OREGON,399,12.1998274,3021.490411,4037.685294
Columbiana,APPALACHIAN,715,116.836063,198.9013699,587407.0304
Colusa,SACRAMENTO,155,31.27236438,0,999999
Comanche,FORT WORTH,997,8.931435616,681.9424658,13097.05153
Concho,EASTERN SHELF,185,0.59459726,495.8,1199.268375
Concordia,ARKLA,99,0.367372603,695.8410959,527.9547369
Conecuh,GULF COAST EAST,105,16.97619178,5438.827397,3121.296291
Contra Costa,CA COAST,21,5.240520548,197.3726027,26551.40823
Converse,POWDER RIVER,1711,267.6019479,91645.4,2919.971411
Conway,ARKOMA,1090,258.7932466,0,999999
Cooke,FORT WORTH,1999,27.40233973,2655.60274,10318.68936
Coshocton,APPALACHIAN,1880,2.701641096,327.9342466,8238.362184
Cottle,PALO DURO,96,5.542561644,260.8630137,21247.0199
Cotton,ANADARKO,255,0.050720548,157.6027397,321.8252934
Covington,GULF COAST EAST,49,7.307660274,1155.942466,6321.820065
Cowley,CHEROKEE PLATFORM,636,0.007380822,1343.169863,5.495077072
Craig,CHEROKEE PLATFORM,18,0.065506849,1.802739726,36337.38602
Crane,CENTRAL BASIN PLATFORM,4618,110.1881644,21547.12603,5113.821873
Crawford,CHEROKEE PLATFORM,3563,17.84466575,625.5150685,28527.95504
Creek,CHEROKEE PLATFORM,2596,1.554652055,4590.849315,338.6414905
Crockett,MIDLAND,7833,268.9888164,15720.58904,17110.60672
Crook,POWDER RIVER,374,0.045652055,2088.131507,21.86263396
Crosby,EASTERN SHELF,630,0.0552,2017.49863,27.36061337
Culberson,DELAWARE,943,1199.643471,119943.6192,10001.72814
Cumberland,OTHER - KENTUCKY,82,0,17.02739726,0
Custer,ANADARKO,1105,307.6510274,4623.616438,66539.04611
Cuyahoga,APPALACHIAN,385,4.479306849,150.0246575,29857.13764
Daggett,GREEN RIVER - OVERTHRUST,16,2.370060274,2.731506849,867675.0251
Dallas,FORT WORTH,25,16.09202192,0,999999
Daniels,WILLISTON,2,0,37.29315068,0
Daviess,OTHER - KENTUCKY,64,0,22.08767123,0
Dawson,WILLISTON,1240,4.85449863,10142.5726,478.625968
De Soto,ARKLA,2970,3593.241567,501.3205479,7167552.94
De Witt,GULF COAST WEST,2505,767.3818493,174479.8274,4398.112153
Decatur,SALINA,156,0,458.8684932,0
Delaware,APPALACHIAN,7,0,4.852054795,0
Delta,PICEANCE,6,1.154687671,0,999999
Denton,FORT WORTH,2533,376.6567616,495.2712329,760506.0352
Deuel,DENVER-JULESBURG,29,0.114591781,0,999999
Dewey,ANADARKO,1079,227.8363205,9361.068493,24338.70885
Dickens,EASTERN SHELF,189,0.056693151,1065.106849,53.22766511
Dickenson,APPALACHIAN,2329,69.17138904,0,999999
Dickinson,ANADARKO,19,0,17.56438356,0
Dimmit,GULF COAST WEST,3989,690.4035726,140718.1589,4906.286282
Divide,WILLISTON,750,25.32496438,14740.66027,1718.0346
Doddridge,APPALACHIAN,3702,1039.965205,2192.347945,474361.384
Dolores,PARADOX,16,83.23989315,0,999999
Donley,PALO DURO,4,0.026421918,0.389041096,67915.49296
Douglas,CHEROKEE PLATFORM,325,0,75.86849315,0
Duchesne,UINTA,2806,110.8832603,46502.58356,2384.453761
Dundy,DENVER-JULESBURG,148,0,505.3369863,0
Dunn,WILLISTON,2691,331.6732849,248341.611,1335.552603
Duval,GULF COAST WEST,897,14.41416986,2220.443836,6491.571474
East Baton Rouge,GULF COAST EAST,19,3.726331507,443.539726,8401.347812
East Feliciana,GULF COAST EAST,5,0.021627397,268.1643836,80.64977523
Eastland,FORT WORTH,934,4.029087671,371.9753425,10831.5988
Eaton,MICHIGAN,1,0,4.101369863,0
Ector,CENTRAL BASIN PLATFORM,7544,110.8571452,47670.30137,2325.49705
Eddy,DELAWARE,12187,1921.080564,399991.1644,4802.8075
Edmonson,OTHER - KENTUCKY,41,0.133449315,1.334246575,100018.4805
Edwards,VAL VERDE,673,6.805147945,305.0438356,22308.75419
Elbert,DENVER-JULESBURG,22,0.012805479,17.9260274,714.351215
Elk,CHEROKEE PLATFORM,1549,230.863526,199.2547945,1158634.735
Elliott,APPALACHIAN,28,0,7.882191781,0
Ellis,ANADARKO,3946,115.1934137,21741.61918,5298.29047
Ellsworth,SALINA,306,0.107287671,568.6575342,188.6683369
Emery,PARADOX,204,13.82989041,0,999999
Erath,FORT WORTH,156,5.338419178,5.235616438,1019635.269
Erie,APPALACHIAN,1630,4.865715068,17.11232877,284339.7374
Escambia,GULF COAST EAST,67,30.10411781,2880.720548,10450.20414
Estill,APPALACHIAN,109,0,32.00821918,0
Eureka,OTHER - NEVADA,4,0,46.48219178,0
Evangeline,GULF COAST EAST,118,6.543975342,1383.89863,4728.652229
Fairfield,APPALACHIAN,83,0.364136986,114.7041096,3174.576636
Fall River,POWDER RIVER,7,0,50.00273973,0
Fallon,WILLISTON,1347,16.50649589,8659.172603,1906.244008
Falls,GULF COAST CENTRAL,5,0,1.567123288,0
Faulkner,ARKOMA,424,103.0926027,0,999999
Fayette,GULF COAST CENTRAL,4000,294.5999507,9324.112329,31595.49567
Fentress,APPALACHIAN,249,0.113731507,79.26027397,1434.911856
Fergus,BIG SNOWY TROUGH,3,0.022663014,0,999999
Finney,ANADARKO,1539,27.49115616,4040.147945,6804.492444
Fisher,EASTERN SHELF,533,5.033126027,4377.786301,1149.6966
Floyd,APPALACHIAN,1269,8.145142466,11.27671233,722297.619
Foard,FORT WORTH,182,0.127728767,157.3369863,811.8165355
Ford,ANADARKO,147,2.759484932,1037.10411,2660.759808
Forest,APPALACHIAN,3049,5.301693151,901.3150685,5882.175208
Forrest,GULF COAST EAST,57,1.658646575,24.75068493,67014.1687
Fort Bend,GULF COAST CENTRAL,345,15.98624384,2128.446575,7510.756446
Franklin,EAST TEXAS,2790,34.54412055,2491.715068,13863.59178
Freestone,GULF COAST CENTRAL,2742,213.7989288,173.2465753,1234073.045
Fremont,OTHER - COLORADO,1041,213.8616795,5586.353425,38282.87672
Fresno,SAN JOAQUIN,1733,2.538945205,14894.25753,170.4647042
Frio,GULF COAST WEST,776,34.20060274,21447.81096,1594.596428
Frontier,OTHER - NEBRASKA,10,0,49.39452055,0
Furnas,OTHER - NEBRASKA,24,0,31.43013699,0
Gaines,CENTRAL BASIN PLATFORM,4096,53.89898356,67077.61644,803.5315866
Gallia,APPALACHIAN,387,0.291405479,39.63561644,7352.111702
Galveston,GULF COAST CENTRAL,181,1.904775342,609.4054795,3125.628841
Garden,DENVER-JULESBURG,1,0,4.276712329,0
Garfield,OTHER - UTAH,14249,1339.98537,8902.331507,150520.7224
Garrett,APPALACHIAN,4,0.050526027,0,999999
Garvin,ANADARKO,1954,409.8857507,31105.23288,13177.38891
Garza,MIDLAND,2155,0.645580822,5434.328767,118.7967916
Geauga,APPALACHIAN,785,3.259821918,162.9534247,20004.62356
Genesee,MICHIGAN,494,1.252093151,27.19452055,46042.11163
Gilmer,APPALACHIAN,2743,15.40435342,242.490411,63525.61886
Glacier,MONTANA THRUST BELT,684,2.088972603,660.3780822,3163.297903
Gladwin,MICHIGAN,173,1.900227397,688.6684932,2759.277383
Glasscock,MIDLAND,4470,553.105726,139017.937,3978.664466
Glenn,SACRAMENTO,179,5.819386301,0,999999
Golden Valley,WILLISTON,74,1.13950137,1288.991781,884.0253187
Goliad,GULF COAST WEST,260,12.84096712,529.7315068,24240.51988
Gonzales,GULF COAST WEST,1696,121.4299123,90710.35068,1338.655527
Goshen,DENVER-JULESBURG,5,0.018465753,85.05479452,217.1042036
Gove,ANADARKO,372,0,1420.156164,0
Grady,ANADARKO,2426,973.0328164,84531.14795,11510.93816
Graham,SALINA,794,0,2077.284932,0
Grand,PARADOX,231,5.967893151,462.2136986,12911.54539
Grand Total,#N/A,,,,
Grand Traverse,MICHIGAN,23,0.164216438,162.8547945,1008.361091
Grant,ANADARKO,2445,73.95630137,2651.128767,27896.15589
Gray,ANADARKO,2843,17.4447589,2665.161644,6545.47875
Grayson,FORT WORTH,692,10.93129315,2243.145205,4873.19908
Greeley,ANADARKO,101,0.618758904,193.7835616,3193.041241
Green,OTHER - KENTUCKY,6,0,0.693150685,0
Greene,GULF COAST EAST,2442,2985.528816,226.1780822,13199903.31
Greenup,APPALACHIAN,53,0.230868493,154.6356164,1492.983948
Greenwood,CHEROKEE PLATFORM,1099,0,817.9205479,0
Greer,HOLLIS-HARDEMAN,16,0.079490411,1.249315068,63627.19298
Gregg,EAST TEXAS,4184,83.2876411,3760.19726,22149.80633
Grimes,GULF COAST CENTRAL,252,25.64349315,1179.115068,21748.08366
Guadalupe,KERR,1111,0,1637.29589,0
Guernsey,APPALACHIAN,959,250.6223753,33757.6137,7424.173331
Gunnison,PICEANCE,40,10.17129041,1.594520548,6378902.062
Hale,EASTERN SHELF,132,2.401668493,2039.186301,1177.758252
Hamilton,FORT WORTH,279,6.992915068,33.99452055,205707.1244
Hancock,APPALACHIAN,54,0.020876712,8.684931507,2403.785489
Hansford,ANADARKO,666,24.09882466,649.1287671,37124.87549
Hardeman,HOLLIS-HARDEMAN,194,0.424989041,1639.484932,259.2210718
Hardin,GULF COAST CENTRAL,957,11.09873699,2815.882192,3941.477743
Harding,OTHER - NEW MEXICO,521,113.4794658,2733.758904,41510.41468
Harlan,SALINA,400,3.617383562,223.5068493,16184.66536
Harmon,HOLLIS-HARDEMAN,2,0,5.843835616,0
Harper,ANADARKO,1680,49.50108219,1188.391781,41653.84092
Harris,GULF COAST CENTRAL,316,18.58940274,1968.120548,9445.256165
Harrison,EAST TEXAS,6269,2005.889085,24599.89041,81540.56995
Hart,OTHER - KENTUCKY,27,0,0.967123288,0
Hartley,PALO DURO,88,1.996178082,521.2849315,3829.341616
Harvey,ANADARKO,117,0.296221918,207.6986301,1426.210262
Haskell,ANADARKO,2962,74.05336986,8143.463014,9093.596881
Hayes,OTHER - NEBRASKA,9,0,52.85479452,0
Hemphill,ANADARKO,2161,230.5166438,5562.339726,41442.38849
Hempstead,ARKLA,3,0,6.095890411,0
Henderson,EAST TEXAS,679,25.46123014,1314.167123,19374.4233
Hendry,OTHER - FLORIDA,5,0.064238356,405.2219178,158.5263613
Hidalgo,GULF COAST WEST,1254,125.7354,1623.526027,77445.87883
Hill,OTHER - MONTANA,700,30.38256438,1.928767123,15752323.86
Hillsdale,MICHIGAN,1,0,15.10684932,0
Hinds,GULF COAST EAST,23,0.311819178,437.8739726,712.1208329
Hitchcock,OTHER - NEBRASKA,424,0,1475.917808,0
Hocking,APPALACHIAN,338,0.04629589,98.20547945,471.4186079
Hockley,NORTHWEST SHELF,3573,22.6475726,29737.3726,761.5862001
Hodgeman,ANADARKO,228,1.569789041,998.3452055,1572.391025
Holmes,APPALACHIAN,1412,2.695167123,267.6191781,10070.90427
Hood,FORT WORTH,599,79.99169041,160.0767123,499708.4788
Hopkins,EAST TEXAS,181,0.392953425,402.3068493,976.750521
Hot Springs,BIG HORN,561,0.657027397,4968.775342,132.2312546
Houston,GULF COAST CENTRAL,320,6.714375342,1268.367123,5293.716006
Howard,MIDLAND,5544,474.490463,266387.3014,1781.205262
Huerfano,RATON,24,11.85120822,0,999999
Hughes,ARKOMA,1475,339.6794521,879.3506849,386284.4004
Humboldt,CA COAST,26,0.768868493,0,999999
Hunt,EAST TEXAS,1,0,0.84109589,0
Huntingdon,APPALACHIAN,3,0.376128767,0,999999
Huron,MICHIGAN,47,0.114408219,90.26849315,1267.421391
Hutchinson,ANADARKO,2158,12.56179452,1195.80274,10504.90529
Iberia,GULF COAST EAST,50,3.060556164,1547.671233,1977.523455
Iberville,GULF COAST EAST,52,1.36590137,868.2493151,1573.16723
Independence,ARKOMA,60,5.931671233,0,999999
Indiana,APPALACHIAN,10337,63.83484932,2.849315068,22403576.92
Ingham,MICHIGAN,9,0,25.56164384,0
Irion,MIDLAND,2428,332.2356767,26936.12603,12334.20412
Isabella,MICHIGAN,100,0,386.5150685,0
Jack,FORT WORTH,2111,38.86037534,2376.712329,16350.47493
Jackson,GULF COAST WEST,2164,62.12577534,7222.123288,8602.14827
Jasper,GULF COAST CENTRAL,470,31.44292329,9058.991781,3470.907585
Jefferson,GULF COAST CENTRAL,5824,1520.30814,3498.832877,434518.6504
Jefferson Davis,GULF COAST EAST,523,23.98218904,1369.972603,17505.59755
Jim Hogg,GULF COAST WEST,200,15.39328767,220.5917808,69781.7825
Jim Wells,GULF COAST WEST,176,4.208786301,162.5150685,25897.82191
Johnson,CHEROKEE PLATFORM,6963,580.4514932,3370.613699,172209.4387
Johnston,ANADARKO,61,18.13610685,1478.323288,12268.02486
Jones,EASTERN SHELF,792,7.981868493,7126.320548,1120.054654
Kalamazoo,MICHIGAN,15,0,577.5808219,0
Kalkaska,MICHIGAN,52,2.528216438,36.47671233,69310.42512
Kanawha,APPALACHIAN,3191,30.75190685,125.1068493,245805.1419
Karnes,GULF COAST WEST,4539,921.4713836,304798.8959,3023.211029
Kaufman,EAST TEXAS,22,0.056136986,127.8219178,439.1812239
Kay,CHEROKEE PLATFORM,872,5.698821918,1743.70137,3268.232747
Kearney,SALINA,1,0,6.21369863,0
Kearny,ANADARKO,1714,48.24907397,1139.772603,42332.19316
Kenai Peninsula,GULF OF ALASKA BASIN,157,130.0875068,2100.476712,61932.37282
Kenedy,GULF COAST WEST,146,69.30577808,687.7369863,100773.6671
Kent,MICHIGAN,655,16.07929315,8363.024658,1922.664802
Kern,SAN JOAQUIN,35550,318.3059616,264279.2877,1204.430224
Kimball,DENVER-JULESBURG,144,0.032873973,590.7561644,55.64727816
Kimble,EASTERN SHELF,1,0,0.753424658,0
King,EASTERN SHELF,385,0.492087671,4286.912329,114.7883683
Kingfisher,ANADARKO,2485,575.1147863,90119.27397,6381.706831
Kingman,ANADARKO,4177,40.9840411,17904.88767,2288.986217
Kings,SAN JOAQUIN,123,0.862742466,301.2136986,2864.220551
Kiowa,ANADARKO,515,8.220638356,1006.668493,8166.182226
Kit Carson,ANADARKO,7,0.020145205,8.665753425,2324.691748
Kleberg,GULF COAST WEST,101,14.41645205,435.8657534,33075.4411
Knott,APPALACHIAN,1389,13.77890959,15.11506849,911600.87
Knox,FORT WORTH,1662,5.046531507,834.0630137,6050.539856
La Plata,SAN JUAN,3036,682.0153342,41.05479452,16612318.79
La Salle,GULF COAST WEST,5889,784.6124274,150853.7452,5201.14649
Labette,CHEROKEE PLATFORM,486,5.022243836,11.85479452,423646.6374
Lafayette,GULF COAST EAST,130,4.417709589,1219.287671,3623.188927
LaFourche,GULF COAST EAST,174,32.56780822,5308.947945,6134.512629
Lake,APPALACHIAN,194,0.665210959,11.1260274,59788.72199
Lamar,BLACK WARRIOR,463,11.56717534,645.7287671,17913.36538
Lamb,NORTHWEST SHELF,88,1.199361644,771.8465753,1553.886073
Lane,ANADARKO,344,0,1531.090411,0
Lapeer,MICHIGAN,1,0,53.83835616,0
Laramie,DENVER-JULESBURG,497,28.19289315,28043.49315,1005.327439
Larimer,DENVER-JULESBURG,229,25.7803863,4865.216438,5298.918687
Las Animas,RATON,2613,130.7681205,0,999999
Latimer,ARKOMA,1399,113.3948932,0,999999
Laurel,APPALACHIAN,8,0.001147945,0,999999
Lavaca,GULF COAST WEST,725,103.1925315,22780.57534,4529.847467
Lawrence,GULF COAST EAST,804,50.13535342,827.1835616,60609.70714
Le Flore,ARKOMA,1174,45.98036438,0,999999
Lea,NORTHWEST SHELF,13709,1624.886101,554909.2658,2928.201423
Leavenworth,CHEROKEE PLATFORM,149,0,88.42191781,0
Lee,GULF COAST CENTRAL,1576,12.60807123,7541.569863,1671.80991
Leflore,GULF COAST EAST,1,0,64.81917808,0
